iter	Passed	Remaining
873	47712	23255
874	47762	23199
875	47825	23148
876	47884	23096
877	47936	23039
878	47985	22982
879	48038	22927
880	48094	22873
881	48142	22815
882	48192	22759
883	48239	22700
884	48294	22646
885	48345	22590
886	48393	22532
887	48439	22474
888	48493	22419
889	48534	22358
890	48588	22303
891	48650	22252
892	48718	22204
893	48776	22151
894	48836	22099
895	48894	22046
896	48931	21983
897	48976	21925
898	49020	21865
899	49081	21814
900	49140	21761
901	49195	21707
902	49253	21654
903	49305	21598
904	49362	21544
905	49409	21487
906	49465	21433
907	49502	21371
908	49556	21316
909	49596	21255
910	49650	21200
911	49700	21144
912	49742	21084
913	49784	21025
914	49829	20966
915	49871	20906
916	49929	20853
917	49971	20794
918	50018	20736
919	50050	20672
920	50104	20618
921	50160	20564
922	50204	20506
923	50254	20449
924	50305	20394
925	50351	20336
926	50404	20281
927	50461	20228
928	50504	20169
929	50545	20109
930	50583	20048
931	50617	19986
932	50669	19931
933	50715	19873
934	50751	19812
935	50789	19751
936	50832	19692
937	50878	19635
938	50943	19585
939	50996	19530
940	51035	19470
941	51080	19412
942	51123	19354
943	51181	19301
944	51229	19245
945	51287	19191
946	51342	19138
947	51390	19081
948	51432	19023
949	51483	18967
950	51526	18909
951	51565	18849
952	51614	18793
953	51649	18732
954	51695	18675
955	51731	18614
956	51782	18559
957	51829	18502
958	51872	18444
959	51917	18387
960	51980	18336
961	52034	18282
962	52077	18224
963	52123	18167
964	52172	18111
965	52229	18058
966	52277	18002
967	52322	17945
968	52373	17890
969	52434	17838
970	52482	17782
971	52535	17727
972	52578	17670
973	52632	17616
974	52671	17557
975	52718	17500
976	52759	17442
977	52802	17385
978	52847	17327
979	52898	17272
980	52939	17214
981	52994	17161
982	53061	17111
983	53108	17055
984	53137	16993
985	53183	16936
986	53234	16881
987	53288	16827
988	53341	16773
989	53392	16718
990	53437	16662
991	53489	16607
992	53538	16552
993	53586	16496
994	53635	16440
995	53667	16380
996	53717	16325
997	53765	16269
998	53813	16213
999	53859	16157
1000	53898	16099
1001	53940	16042
1002	53975	15982
1003	54029	15929
1004	54091	15877
1005	54143	15823
1006	54193	15768
1007	54242	15713
1008	54286	15656
1009	54334	15601
1010	54391	15548
1011	54441	15493
1012	54493	15439
1013	54536	15382
1014	54573	15323
1015	54635	15272
1016	54681	15216
1017	54738	15163
1018	54786	15108
1019	54830	15051
1020	54875	14995
1021	54914	14937
1022	54966	14883
1023	55002	14824
1024	55032	14764
1025	55083	14710
1026	55152	14660
1027	55213	14608
1028	55261	14553
1029	55312	14499
1030	55379	14449
1031	55454	14400
1032	55508	14347
1033	55591	14301
1034	55652	14249
1035	55760	14209
1036	55846	14163
1037	55948	14121
1038	56016	14071
1039	56114	14028
1040	56208	13984
1041	56299	13939
1042	56373	13890
1043	56467	13846
1044	56558	13801
1045	56639	13753
1046	56720	13706
1047	56780	13653
1048	56859	13605
1049	56929	13554
1050	57016	13508
1051	57111	13463
1052	57187	13414
1053	57276	13368
1054	57359	13320
1055	57409	13265
1056	57510	13221
1057	57621	13179
1058	57698	13130
1059	57794	13085
1060	57888	13040
1061	57985	12994
1062	58070	12947
1063	58147	12897
1064	58206	12843
1065	58313	12800
1066	58423	12757
1067	58463	12699
1068	58517	12644
1069	58558	12587
1070	58611	12532
1071	58663	12476
1072	58711	12420
1073	58758	12364
1074	58807	12308
1075	58853	12252
1076	58907	12197
1077	58957	12141
1078	59021	12088
1079	59080	12034
1080	59128	11978
1081	59186	11924
1082	59242	11870
1083	59304	11817
1084	59347	11760
1085	59388	11702
1086	59460	11651
1087	59507	11595
1088	59552	11538
1089	59615	11485
1090	59657	11428
1091	59710	11373
1092	59759	11317
1093	59810	11262
1094	59869	11208
1095	59903	11150
1096	59935	11091
1097	59981	11034
1098	60042	10981
1099	60094	10926
1100	60137	10869
1101	60167	10810
1102	60191	10750
1103	60245	10695
1104	60293	10640
1105	60343	10584
1106	60379	10526
1107	60430	10471
1108	60495	10418
1109	60535	10361
1110	60578	10305
1111	60627	10250
1112	60675	10194
1113	60723	10138
1114	60782	10085
1115	60832	10029
1116	60884	9974
1117	60936	9919
1118	60963	9861
1119	61007	9804
1120	61072	9751
1121	61127	9697
1122	61176	9642
1123	61238	9588
1124	61288	9533
1125	61337	9478
1126	61390	9423
1127	61445	9369
1128	61472	9310
1129	61553	9260
1130	61626	9208
1131	61678	9153
1132	61727	9098
1133	61762	9041
1134	61820	8987
1135	61863	8931
1136	61911	8875
1137	61946	8818
1138	61998	8763
1139	62058	8709
1140	62104	8654
1141	62151	8598
1142	62198	8543
1143	62251	8488
1144	62290	8432
1145	62339	8377
1146	62397	8323
1147	62451	8268
1148	62503	8214
1149	62559	8159
1150	62618	8106
1151	62667	8050
1152	62722	7996
1153	62764	7940
1154	62799	7883
1155	62853	7829
1156	62907	7775
1157	62949	7719
1158	62998	7664
1159	63036	7607
1160	63095	7554
1161	63146	7499
1162	63182	7442
1163	63247	7389
1164	63295	7334
1165	63355	7280
1166	63399	7225
1167	63460	7171
1168	63501	7116
1169	63527	7058
1170	63574	7003
1171	63611	6947
1172	63673	6893
1173	63729	6839
1174	63789	6786
1175	63835	6730
1176	63875	6675
1177	63923	6620
1178	63963	6564
1179	64023	6510
1180	64078	6456
1181	64130	6402
1182	64181	6347
1183	64224	6292
1184	64278	6238
1185	64332	6183
1186	64377	6128
1187	64427	6074
1188	64475	6019
1189	64516	5963
1190	64575	5909
1191	64625	5855
1192	64689	5801
1193	64736	5747
1194	64774	5691
1195	64812	5635
1196	64858	5580
1197	64900	5525
1198	64947	5470
1199	65001	5416
1200	65059	5362
1201	65104	5308
1202	65150	5253
1203	65206	5199
1204	65248	5144
1205	65306	5090
1206	65353	5035
1207	65414	4981
1208	65469	4927
1209	65527	4873
1210	65582	4819
1211	65636	4765
1212	65691	4711
1213	65765	4658
1214	65818	4604
1215	65868	4550
1216	65927	4496
1217	65969	4441
1218	66020	4386
1219	66076	4332
1220	66122	4278
1221	66147	4222
1222	66184	4166
1223	66233	4112
1224	66284	4058
1225	66335	4003
1226	66385	3949
1227	66419	3894
1228	66466	3839
1229	66516	3785
1230	66567	3731
1231	66613	3676
1232	66653	3621
1233	66703	3567
1234	66761	3513
